reg_month,ggsem,No ytag,Other ytag
2024-01,0,10,0
2024-02,0,72,2
2024-03,0,212,1
2024-04,0,232,0
2024-05,1,972,4
2024-06,1,687,2
2024-07,5,1464,1
2024-08,12,5247,5
2024-09,14,15233,1
2024-10,17,7294,3
2024-11,21,8650,5
2024-12,58,8902,9
2025-01,6935,993,310
2025-02,5383,878,270
2025-03,8263,1064,322
2025-04,2449,813,217
2025-05,1843,1192,273
2025-06,2907,1094,360
2025-07,3493,807,255
2025-08,1760,635,211
2025-09,1529,964,291
2025-10,2025,798,340
2025-11,2696,666,286
2025-12,2284,1356,499
2026-01,2304,1049,312
2026-02,2429,611,248
2026-03,2515,896,368
2026-04,1698,545,253
